0: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
1: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
2: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
3: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
4: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
5: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
6: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
7: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
8: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
9: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
10: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
11: (0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)(0, 0)
12: (1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
13: (1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
14: (1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
15: (2, 0)(2, 0)(2, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
16: (2, 0)(2, 0)(2, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
17: (2, 0)(2, 0)(2, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
18: (3, 0)(3, 0)(3, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
19: (3, 0)(3, 0)(3, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
20: (3, 0)(3, 0)(3, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
21: (4, 0)(4, 0)(4, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
22: (4, 0)(4, 0)(4, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
23: (4, 0)(4, 0)(4, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0) 
24: (5, 0)(5, 0)(5, 0)(1, 0)(1, 0)(1, 0)(1, 0)(1, 0)
25: (5, 0)(5, 0)(5, 0)(2, 0)(1, 0)(1, 0)(1, 0)(1, 0)
26: (5, 0)(5, 0)(5, 0)(2, 0)(1, 0)(1, 0)(1, 0)(1, 0)
27: (6, 0)(6, 0)(6, 0)(2, 0)(1, 0)(1, 0)(1, 0)(1, 0)
28: (6, 0)(6, 0)(6, 0)(3, 0)(2, 0)(1, 0)(1, 0)(1, 0)
29: (6, 0)(6, 0)(6, 0)(3, 0)(2, 0)(1, 0)(1, 0)(1, 0)
30: (7, 0)(7, 0)(7, 0)(3, 0)(2, 0)(1, 0)(1, 0)(1, 0)
31: (7, 0)(7, 0)(7, 0)(4, 0)(3, 0)(1, 0)(1, 0)(1, 0)
32: (7, 0)(7, 0)(7, 0)(4, 0)(3, 0)(1, 0)(1, 0)(1, 0)
33: (8, 0)(8, 0)(7, 1)(4, 0)(3, 0)(1, 0)(1, 0)(1, 0)
34: (8, 0)(8, 0)(7, 1)(5, 0)(4, 0)(1, 0)(1, 0)(1, 0)
35: (8, 0)(8, 0)(7, 1)(5, 0)(4, 0)(1, 0)(1, 0)(1, 0)
36: (9, 0)(9, 0)(7, 1)(5, 0)(4, 0)(1, 0)(1, 0)(1, 0)
37: (9, 0)(9, 0)(7, 1)(6, 0)(5, 0)(1, 0)(1, 0)(1, 0)
38: (9, 0)(9, 0)(7, 1)(6, 0)(5, 0)(1, 0)(1, 0)(1, 0)
39: (10, 0)(10, 0)(7, 1)(6, 0)(5, 0)(1, 0)(1, 0)(1, 0)
